neutral,maskulinum,femininum,inkl_Doppelpunkt,inkl_Unterstrich,inkl_Sternchen,inkl_Schrägstrich,inkl_Grossbuchstaben
Die schauspielende Person spielte die Hauptrolle im Theaterstück.,Der Schauspieler spielte die Hauptrolle im Theaterstück.,Die Schauspielerin spielte die Hauptrolle im Theaterstück.,Dier Schauspieler:in spielte die Hauptrolle im Theaterstück.,Dier Schauspieler_in spielte die Hauptrolle im Theaterstück.,Dier Schauspieler*in spielte die Hauptrolle im Theaterstück.,Dier Schauspieler/in spielte die Hauptrolle im Theaterstück.,Dier SchauspielerIn spielte die Hauptrolle im Theaterstück.
Die schiedsrichtende Person pfiff das Fußballspiel an.,Der Schiedsrichter pfiff das Fußballspiel an.,Die Schiedsrichterin pfiff das Fußballspiel an.,Dier Schiedsrichter:in pfiff das Fußballspiel an.,Dier Schiedsrichter_in pfiff das Fußballspiel an.,Dier Schiedsrichter*in pfiff das Fußballspiel an.,Dier Schiedsrichter/in pfiff das Fußballspiel an.,Dier SchiedsrichterIn pfiff das Fußballspiel an.
Die Kinder bauten eine große Schneefigur im Garten.,Die Kinder bauten einen großen Schneemann im Garten.,Die Kinder bauten eine große Schneefrau im Garten.,Die Kinder bauten eine große Schneeperson im Garten.,Die Kinder bauten eine große Schneeperson im Garten.,Die Kinder bauten eine große Schneeperson im Garten.,Die Kinder bauten eine große Schneeperson im Garten.,Die Kinder bauten eine große Schneeperson im Garten.
Die bücherschreibende Person veröffentlichte ihren neuen Roman.,Der Schriftsteller veröffentlichte seinen neuen Roman.,Die Schriftstellerin veröffentlichte ihren neuen Roman.,Dier Schriftsteller:in veröffentlichte deren neuen Roman.,Dier Schriftsteller_in veröffentlichte deren neuen Roman.,Dier Schriftsteller*in veröffentlichte deren neuen Roman.,Dier Schriftsteller/in veröffentlichte deren neuen Roman.,Dier SchriftstellerIn veröffentlichte deren neuen Roman.
Die lernende Person lernte fleißig für die Prüfungen.,Der Schüler lernte fleißig für die Prüfungen.,Die Schülerin lernte fleißig für die Prüfungen.,Dier Schüler:in lernte fleißig für die Prüfungen.,Dier Schüler_in lernte fleißig für die Prüfungen.,Dier Schüler*in lernte fleißig für die Prüfungen.,Dier Schüler/in lernte fleißig für die Prüfungen.,Dier SchülerIn lernte fleißig für die Prüfungen.
Die Klassenmitglieder warten auf die Pause.,Die Schüler warten auf die Pause.,Die Schülerinnen warten auf die Pause.,Die Schüler:innen warten auf die Pause.,Die Schüler_innen warten auf die Pause.,Die Schüler*innen warten auf die Pause.,Die Schüler/innen warten auf die Pause.,Die SchülerInnen warten auf die Pause.
"Die Person, die die Schülerschaft vertritt, setzte sich für die Anliegen der Klasse ein.",Der Schülervertreter setzte sich für die Anliegen der Klasse ein.,Die Schülerinvertreterin setzte sich für die Anliegen der Klasse ein.,Dier Schüler:invertreter:in setzte sich für die Anliegen der Klasse ein.,Dier Schüler_invertreter_in setzte sich für die Anliegen der Klasse ein.,Dier Schüler*invertreter*in setzte sich für die Anliegen der Klasse ein.,Dier Schüler/invertreter/in setzte sich für die Anliegen der Klasse ein.,Dier SchülerInvertreterIn setzte sich für die Anliegen der Klasse ein.
Die Schulleitung organisierte das Schulfest.,Der Schulleiter organisierte das Schulfest.,Die Schulleiterin organisierte das Schulfest.,Dier Schulleiter:in organisierte das Schulfest.,Dier Schulleiter_in organisierte das Schulfest.,Dier Schulleiter*in organisierte das Schulfest.,Dier Schulleiter/in organisierte das Schulfest.,Dier SchulleiterIn organisierte das Schulfest.
Im Dienstzimmer besprachen die Krankenpflegenden den Tagesablauf.,Im Pflegerzimmer besprachen die Krankenpfleger den Tagesablauf.,Im Schwesternzimmer besprachen die Krankenschwestern den Tagesablauf.,Im Pfleger:innenzimmer besprachen die Krankenpfleger:innen den Tagesablauf.,Im Pfleger_innenzimmer besprachen die Krankenpfleger_innen den Tagesablauf.,Im Pfleger*innenzimmer besprachen die Krankenpfleger*innen den Tagesablauf.,Im Pfleger/innenzimmer besprachen die Krankenpfleger/innen den Tagesablauf.,Im PflegerInnenzimmer besprachen die KrankenpflegerInnen den Tagesablauf.
Mein Schwiegerelternteil ist ein sehr netter und hilfsbereiter Mensch.,Mein Schwiegervater ist ein sehr netter und hilfsbereiter Mensch.,Meine Schwiegermutter ist ein sehr netter und hilfsbereiter Mensch.,Mein Schwiegerelternteil ist ein sehr netter und hilfsbereiter Mensch.,Mein Schwiegerelternteil ist ein sehr netter und hilfsbereiter Mensch.,Mein Schwiegerelternteil ist ein sehr netter und hilfsbereiter Mensch.,Mein Schwiegerelternteil ist ein sehr netter und hilfsbereiter Mensch.,Mein Schwiegerelternteil ist ein sehr netter und hilfsbereiter Mensch.
Das Schwiegerkind half beim Umzug.,Der Schwiegersohn half beim Umzug.,Die Schwiegertochter half beim Umzug.,Das Schwiegerkind half beim Umzug.,Das Schwiegerkind half beim Umzug.,Das Schwiegerkind half beim Umzug.,Das Schwiegerkind half beim Umzug.,Das Schwiegerkind half beim Umzug.
Die schwimmende Person gewann die Goldmedaille im Wettkampf.,Der Schwimmer gewann die Goldmedaille im Wettkampf.,Die Schwimmerin gewann die Goldmedaille im Wettkampf.,Dier Schwimmer:in gewann die Goldmedaille im Wettkampf.,Dier Schwimmer_in gewann die Goldmedaille im Wettkampf.,Dier Schwimmer*in gewann die Goldmedaille im Wettkampf.,Dier Schwimmer/in gewann die Goldmedaille im Wettkampf.,Dier SchwimmerIn gewann die Goldmedaille im Wettkampf.
Die Badeaufsicht überwachte die Sicherheit im Schwimmbad.,Der Schwimmmeister überwachte die Sicherheit im Schwimmbad.,Die Schwimmmeisterin überwachte die Sicherheit im Schwimmbad.,Dier Schwimmmeister:in überwachte die Sicherheit im Schwimmbad.,Dier Schwimmmeister_in überwachte die Sicherheit im Schwimmbad.,Dier Schwimmmeister*in überwachte die Sicherheit im Schwimmbad.,Dier Schwimmmeister/in überwachte die Sicherheit im Schwimmbad.,Dier SchwimmmeisterIn überwachte die Sicherheit im Schwimmbad.
sehr geehrte Persönlichkeiten,Sehr geehrte Damen und Herren!,Sehr geehrte Damen und Herren!in,Sehr geehrte Persönlichkeiten!,Sehr geehrte Persönlichkeiten!,Sehr geehrte Persönlichkeiten!,Sehr geehrte Persönlichkeiten!,Sehr geehrte Persönlichkeiten!
Zu jener Zeit war dey die beste laufende Person im Team.,Seinerzeit war er der beste Läufer im Team.,Ihrerzeit war sie die beste Läuferin im Team.,Dererzeit war dey dier beste Läufer:in im Team.,Dererzeit war dey dier beste Läufer_in im Team.,Dererzeit war dey dier beste Läufer*in im Team.,Dererzeit war dey dier beste Läufer/in im Team.,Dererzeit war dey dier beste LäuferIn im Team.
Eine künstlerisch tätige Person von gleicher Art findet man nur selten.,Einen Künstler seinesgleichen findet man nur selten.,Eine Künstlerin ihresgleichen findet man nur selten.,Eine:n Künstler:in von gleicher Art findet man nur selten.,Eine_n Künstler_in von gleicher Art findet man nur selten.,Eine*n Künstler*in von gleicher Art findet man nur selten.,Eine/n Künstler/in von gleicher Art findet man nur selten.,EineN KünstlerIn von gleicher Art findet man nur selten.
Die Verwaltungskraft bereitete die Unterlagen für das Meeting vor. ,Der Sekretär bereitete die Unterlagen für das Meeting vor. ,Die Sekretärin bereitete die Unterlagen für das Meeting vor. ,Dier Sekretär:in bereitete die Unterlagen für das Meeting vor. ,Dier Sekretär_in bereitete die Unterlagen für das Meeting vor. ,Dier Sekretär*in bereitete die Unterlagen für das Meeting vor. ,Dier Sekretär/in bereitete die Unterlagen für das Meeting vor. ,Dier SekretärIn bereitete die Unterlagen für das Meeting vor. 
Die Verwaltungskräfte organisierten das Büro und die Termine.,Die Sekretäre organisierten das Büro und die Termine.,Die Sekretärinnen organisierten das Büro und die Termine.,Die Sekretär:innen organisierten das Büro und die Termine.,Die Sekretär_innen organisierten das Büro und die Termine.,Die Sekretär*innen organisierten das Büro und die Termine.,Die Sekretär/innen organisierten das Büro und die Termine.,Die SekretärInnen organisierten das Büro und die Termine.
Dier Selbstmörderon hinterließ einen Abschiedsbrief.,Der Selbstmörder hinterließ einen Abschiedsbrief.,Die Selbstmörderin hinterließ einen Abschiedsbrief.,Dier Selbstmörder:in hinterließ einen Abschiedsbrief.,Dier Selbstmörder_in hinterließ einen Abschiedsbrief.,Dier Selbstmörder*in hinterließ einen Abschiedsbrief.,Dier Selbstmörder/in hinterließ einen Abschiedsbrief.,Dier SelbstmörderIn hinterließ einen Abschiedsbrief.
Die selbstständig arbeitende Person gründete ihr eigenes Unternehmen.,Der Selbstständige gründete sein eigenes Unternehmen.,Die Selbstständige gründete ihr eigenes Unternehmen.,Dier Selbstständige gründete deren eigenes Unternehmen.,Dier Selbstständige gründete deren eigenes Unternehmen.,Dier Selbstständige gründete deren eigenes Unternehmen.,Dier Selbstständige gründete deren eigenes Unternehmen.,Dier Selbstständige gründete deren eigenes Unternehmen.
Die sendende Person hat vergessen die Nachricht zu übersetzen.,Der Sender hat vergessen die Nachricht zu übersetzen.,Die Senderin hat vergessen die Nachricht zu übersetzen.,Dier Sender:in hat vergessen die Nachricht zu übersetzen.,Dier Sender_in hat vergessen die Nachricht zu übersetzen.,Dier Sender*in hat vergessen die Nachricht zu übersetzen.,Dier Sender/in hat vergessen die Nachricht zu übersetzen.,Dier SenderIn hat vergessen die Nachricht zu übersetzen.
Die ältere Menschen trafen sich regelmäßig zum Kaffee.,Die Senioren trafen sich regelmäßig zum Kaffee.,Die Seniorinnen trafen sich regelmäßig zum Kaffee.,Die Senior:innen trafen sich regelmäßig zum Kaffee.,Die Senior_innen trafen sich regelmäßig zum Kaffee.,Die Senior*innen trafen sich regelmäßig zum Kaffee.,Die Senior/innen trafen sich regelmäßig zum Kaffee.,Die SeniorInnen trafen sich regelmäßig zum Kaffee.
Die sexistische Person wurde für ihre diskriminierenden Kommentare kritisiert.,Der Sexist wurde für seine diskriminierenden Kommentare kritisiert.,Die Sexistin wurde für ihre diskriminierenden Kommentare kritisiert.,Dier Sexist:in wurde für deren diskriminierende Kommentare kritisiert.,Dier Sexist_in wurde für deren diskriminierende Kommentare kritisiert.,Dier Sexist*in wurde für deren diskriminierende Kommentare kritisiert.,Dier Sexist/in wurde für deren diskriminierende Kommentare kritisiert.,Dier SexistIn wurde für deren diskriminierende Kommentare kritisiert.
Die versklavte Person musste unter schweren Bedingungen in der Fabrik arbeiten. Dey hatte keine Aussicht auf Freiheit oder fairen Lohn.,Der Sklave musste unter schweren Bedingungen in der Fabrik arbeiten. Er hatte keine Aussicht auf Freiheit oder fairen Lohn.,Die Sklavin musste unter schweren Bedingungen in der Fabrik arbeiten. Sie hatte keine Aussicht auf Freiheit oder fairen Lohn.,Dier Sklav:in musste unter schweren Bedingungen in der Fabrik arbeiten. Dey hatte keine Aussicht auf Freiheit oder fairen Lohn.,Dier Sklav_in musste unter schweren Bedingungen in der Fabrik arbeiten. Dey hatte keine Aussicht auf Freiheit oder fairen Lohn.,Die*der Sklav*in musste unter schweren Bedingungen in der Fabrik arbeiten. Dey hatte keine Aussicht auf Freiheit oder fairen Lohn.,Dier Sklav/in musste unter schweren Bedingungen in der Fabrik arbeiten. Dey hatte keine Aussicht auf Freiheit oder fairen Lohn.,Dier SklavIn musste unter schweren Bedingungen in der Fabrik arbeiten. Dey hatte keine Aussicht auf Freiheit oder fairen Lohn.
"Die Versklavten wurden gezwungen, unzählige Stunden ohne Pause zu arbeiten, während sie von ihren Aufsehenden streng überwacht wurden.","Die Sklaven wurden gezwungen, unzählige Stunden ohne Pause zu arbeiten, während sie von ihren Aufsehern streng überwacht wurden.","Die Sklavinnen wurden gezwungen, unzählige Stunden ohne Pause zu arbeiten, während sie von ihren Aufseherinnen streng überwacht wurden.","Die Sklav:innen wurden gezwungen, unzählige Stunden ohne Pause zu arbeiten, während sie von ihren Aufseher:innen streng überwacht wurden.","Die Sklav_innen wurden gezwungen, unzählige Stunden ohne Pause zu arbeiten, während sie von ihren Aufseher_innen streng überwacht wurden.","Die Sklav*innen wurden gezwungen, unzählige Stunden ohne Pause zu arbeiten, während sie von ihren Aufseher*innen streng überwacht wurden.","Die Sklav/innen wurden gezwungen, unzählige Stunden ohne Pause zu arbeiten, während sie von ihren Aufseher/innen streng überwacht wurden.","Die SklavInnen wurden gezwungen, unzählige Stunden ohne Pause zu arbeiten, während sie von ihren AufseherInnen streng überwacht wurden."
Die Sklaverei Ausführenden besaßen mehrere Plantagen und behandelten ihre Versklavten mit äußerster Härte und Grausamkeit.,Die Sklavenhalter besaßen mehrere Plantagen und behandelten ihre Sklaven mit äußerster Härte und Grausamkeit.,Die Sklavenhalterinnen besaßen mehrere Plantagen und behandelten ihre Sklavinnen mit äußerster Härte und Grausamkeit.,Die Sklavenhalter:innen besaßen mehrere Plantagen und behandelten ihre Sklav:innen mit äußerster Härte und Grausamkeit.,Die Sklavenhalter_innen besaßen mehrere Plantagen und behandelten ihre Sklav_innen mit äußerster Härte und Grausamkeit.,Die Sklavenhalter*innen besaßen mehrere Plantagen und behandelten ihre Sklav*innen mit äußerster Härte und Grausamkeit.,Die Sklavenhalter/innen besaßen mehrere Plantagen und behandelten ihre Sklav/innen mit äußerster Härte und Grausamkeit.,Die SklavenhalterInnen besaßen mehrere Plantagen und behandelt ihre SklavInnen mit äußerster Härte und Grausamkeit.
"Die Software entwickelnde Person, die das neue System programmiert hat, erhielt viel Lob für ihre innovative Arbeit.","Der Softwareentwickler, der das neue System programmiert hat, erhielt viel Lob für seine innovative Arbeit.","Die Softwareentwicklerin, die das neue System programmiert hat, erhielt viel Lob für ihre innovative Arbeit.","Dier Softwareentwickler:in, dier das neue System programmiert hat, erhielt viel Lob für deren innovative Arbeit.","Dier Softwareentwickler_in, dier das neue System programmiert hat, erhielt viel Lob für deren innovative Arbeit.","Die*der Softwareentwickler*in, die*der das neue System programmiert hat, erhielt viel Lob für deren innovative Arbeit.","Dier Softwareentwickler/in, dier das neue System programmiert hat, erhielt viel Lob für deren innovative Arbeit.","Dier SoftwareentwicklerIn, dier das neue System programmiert hat, erhielt viel Lob für deren innovative Arbeit."
Das Mitglied der Streitkräfte eines Landes kehrte nach langer Zeit im Ausland nach Hause zurück.,Der Soldat kehrte nach langer Zeit im Ausland nach Hause zurück.,Die Soldatin kehrte nach langer Zeit im Ausland nach Hause zurück.,Dier Soldat:in kehrte nach langer Zeit im Ausland nach Hause zurück.,Dier Soldat_in kehrte nach langer Zeit im Ausland nach Hause zurück.,Dier Soldat*in kehrte nach langer Zeit im Ausland nach Hause zurück.,Dier Soldat/in kehrte nach langer Zeit im Ausland nach Hause zurück.,Dier SoldatIn kehrte nach langer Zeit im Ausland nach Hause zurück.
Die Streitkräfte marschierten diszipliniert in Formation.,Die Soldaten marschierten diszipliniert in Formation.,Die Soldatinnen marschierten diszipliniert in Formation.,Die Soldat:innen marschierten diszipliniert in Formation.,Die Soldat_innen marschierten diszipliniert in Formation.,Die Soldat*innen marschierten diszipliniert in Formation.,Die Soldat/innen marschierten diszipliniert in Formation.,Die SoldatInnen marschierten diszipliniert in Formation.
Die Sozialarbeitenden helfen den Menschen in schwierigen Lebenslagen.,Die Sozialarbeiter helfen den Menschen in schwierigen Lebenslagen.,Die Sozialarbeiterinnen helfen den Menschen in schwierigen Lebenslagen.,Die Sozialarbeiter:innen helfen den Menschen in schwierigen Lebenslagen.,Die Sozialarbeiter_innen helfen den Menschen in schwierigen Lebenslagen.,Die Sozialarbeiter*innen helfen den Menschen in schwierigen Lebenslagen.,Die Sozialarbeiter/innen helfen den Menschen in schwierigen Lebenslagen.,Die SozialarbeiterInnen helfen den Menschen in schwierigen Lebenslagen.
Dey sprach die Person zu Fuß auf deren coole Sneaker an.,Er sprach den Spaziergänger auf seine coolen Sneaker an.,Sie sprach die Spaziergängerin auf ihre coolen Sneaker an.,Dey sprach dien Spaziergänger:in auf deren coole Sneaker an.,Dey sprach dien Spaziergänger_in auf deren coole Sneaker an.,Dey sprach die*den Spaziergänger*in auf deren coolen Sneaker an.,Dey sprach dien Spaziergänger/in auf deren coole Sneaker an.,Dey sprach dien SpaziergängerIn auf deren coole Sneaker an.
Die sprechende Person inspirierte das Publikum mit ihrer Leidenschaft und ihrem Fachwissen.,Der Speaker inspirierte das Publikum mit seiner Leidenschaft und seinem Fachwissen.,Die Speakerin inspirierte das Publikum mit ihrer Leidenschaft und ihrem Fachwissen.,Dier Speaker:in inspirierte das Publikum mit deren Leidenschaft und deren Fachwissen.,Dier Speaker_in inspirierte das Publikum mit deren Leidenschaft und deren Fachwissen.,Die*der Speaker*in inspirierte das Publikum mit deren Leidenschaft und deren Fachwissen.,Dier Speaker/in inspirierte das Publikum mit deren Leidenschaft und deren Fachwissen.,Dier SpeakerIn inspirierte das Publikum mit deren Leidenschaft und deren Fachwissen.
Die sachkundige Person untersuchten das technische Problem.,Die Spezialisten untersuchten das technische Problem.,Die Spezialistinnen untersuchten das technische Problem.,Die Spezialist:innen untersuchten das technische Problem.,Die Spezialist_innen untersuchten das technische Problem.,Die Spezialist*innen untersuchten das technische Problem.,Die Spezialist/innen untersuchten das technische Problem.,Die SpezialistInnen untersuchten das technische Problem.
Das Teammitglied erzielte das entscheidende Tor.,Der Spieler erzielte das entscheidende Tor.,Die Spielerin erzielte das entscheidende Tor.,Dier Spieler:in erzielte das entscheidende Tor.,Dier Spieler_in erzielte das entscheidende Tor.,Dier Spieler*in erzielte das entscheidende Tor.,Dier Spieler/in erzielte das entscheidende Tor.,Dier SpielerIn erzielte das entscheidende Tor.
Die Spielenden erzielten das entscheidende Tor im Finale.,Die Spieler erzielten das entscheidende Tor im Finale.,Die Spielerinnen erzielten das entscheidende Tor im Finale.,Die Spieler:innen erzielten das entscheidende Tor im Finale.,Die Spieler_innen erzielten das entscheidende Tor im Finale.,Die Spieler*innen erzielten das entscheidende Tor im Finale.,Die Spieler/innen erzielten das entscheidende Tor im Finale.,Die SpielerInnen erzielten das entscheidende Tor im Finale.
Die Spielleitung erklärte die Regeln des Spiels.,Der Spielleiter erklärte die Regeln des Spiels.,Die Spielleiterin erklärte die Regeln des Spiels.,Dier Spielleiter:in erklärte die Regeln des Spiels.,Dier Spielleiter_in erklärte die Regeln des Spiels.,Dier Spielleiter*in erklärte die Regeln des Spiels.,Dier Spielleiter/in erklärte die Regeln des Spiels.,Dier SpielleiterIn erklärte die Regeln des Spiels.
Die spionierende Person sammelte geheime Informationen.,Der Spion sammelte geheime Informationen.,Die Spionin sammelte geheime Informationen.,Dier Spion:in sammelte geheime Informationen.,Dier Spion_in sammelte geheime Informationen.,Dier Spion*in sammelte geheime Informationen.,Dier Spion/in sammelte geheime Informationen.,Dier SpionIn sammelte geheime Informationen.
Der sprechende Person des Unternehmens gab eine Pressekonferenz.,Der Sprecher des Unternehmens gab eine Pressekonferenz.,Die Sprecherin des Unternehmens gab eine Pressekonferenz.,Dier Sprecher:in des Unternehmens gab eine Pressekonferenz.,Dier Sprecher_in des Unternehmens gab eine Pressekonferenz.,Dier Sprecher*in des Unternehmens gab eine Pressekonferenz.,Dier Sprecher/in des Unternehmens gab eine Pressekonferenz.,Dier SprecherIn des Unternehmens gab eine Pressekonferenz.
Die sprechende Person kündigte die Neuigkeiten im Radio an.,Der Sprecher kündigte die Neuigkeiten im Radio an.,Die Sprecherin kündigte die Neuigkeiten im Radio an.,Dier Sprecher:in kündigte die Neuigkeiten im Radio an.,Dier Sprecher_in kündigte die Neuigkeiten im Radio an.,Dier Sprecher*in kündigte die Neuigkeiten im Radio an.,Dier Sprecher/in kündigte die Neuigkeiten im Radio an.,Dier SprecherIn kündigte die Neuigkeiten im Radio an.
Die Sprechenden der Fraktion beraten vor der Sitzung.,Die Sprecher der Fraktion beraten vor der Sitzung.,Die Sprecherinnen der Fraktion beraten vor der Sitzung.,Die Sprecher:innen der Fraktion beraten vor der Sitzung.,Die Sprecher_innen der Fraktion beraten vor der Sitzung.,Die Sprecher*innen der Fraktion beraten vor der Sitzung.,Die Sprecher/innen der Fraktion beraten vor der Sitzung.,Die SprecherInnen der Fraktion beraten vor der Sitzung.
Die sporttreibende Person trainiert täglich für den nächsten Wettkampf.,Der Sportler trainiert täglich für den nächsten Wettkampf.,Die Sportler:in trainiert täglich für den nächsten Wettkampf.,Dier Sportler:in trainiert täglich für den nächsten Wettkampf.,Dier Sportler_in trainiert täglich für den nächsten Wettkampf.,Dier Sportler*in trainiert täglich für den nächsten Wettkampf.,Dier Sportler/in trainiert täglich für den nächsten Wettkampf.,Dier SportlerIn trainiert täglich für den nächsten Wettkampf.
Dey beantragte die deutsche Staatsangehörigkeit.,Er beantragte die deutsche Staatsbürgerschaft.,Sie beantragte die deutsche Staatsbürgerinschaft.,Dey beantragte die deutsche Staatsbürger:inschaft.,Dey beantragte die deutsche Staatsbürger_inschaft.,Dey beantragte die deutsche Staatsbürger*inschaft.,Dey beantragte die deutsche Staatsbürger/inschaft.,Dey beantragte die deutsche StaatsbürgerInschaft.
Die Nebenfigur spielte eine kleine Rolle im Film.,Der Statist spielte eine kleine Rolle im Film.,Die Statistin spielte eine kleine Rolle im Film.,Dier Statist:in spielte eine kleine Rolle im Film.,Dier Statist_in spielte eine kleine Rolle im Film.,Dier Statist*in spielte eine kleine Rolle im Film.,Dier Statist/in spielte eine kleine Rolle im Film.,Dier StatistIn spielte eine kleine Rolle im Film.
Die Stellvertretung übernahm die Aufgaben während der Abwesenheit der Leitung.,Der Stellvertreter übernahm die Aufgaben während der Abwesenheit der Leitung.,Die Stellvertreterin übernahm die Aufgaben während der Abwesenheit der Leitung.,Dier Stellvertreter:in übernahm die Aufgaben während der Abwesenheit der Leitung.,Dier Stellvertreter_in übernahm die Aufgaben während der Abwesenheit der Leitung.,Dier Stellvertreter*in übernahm die Aufgaben während der Abwesenheit der Leitung.,Dier Stellvertreter/in übernahm die Aufgaben während der Abwesenheit der Leitung.,Dier StellvertreterIn übernahm die Aufgaben während der Abwesenheit der Leitung.
Die sterbende Person wurde liebevoll von ihrer Familie begleitet.,Der Sterbende wurde liebevoll von seiner Familie begleitet.,Die Sterbende wurde liebevoll von ihrer Familie begleitet.,Dier Sterbende wurde liebevoll von deren Familie begleitet.,Dier Sterbende wurde liebevoll von deren Familie begleitet.,Dier Sterbende wurde liebevoll von deren Familie begleitet.,Dier Sterbende wurde liebevoll von deren Familie begleitet.,Dier Sterbende wurde liebevoll von deren Familie begleitet.
Die steuerzahlende Person finanziert öffentliche Projekte.,Der Steuerzahler finanziert öffentliche Projekte.,Die Steuerzahlerin finanziert öffentliche Projekte.,Dier Steuerzahler:in finanziert öffentliche Projekte.,Dier Steuerzahler_in finanziert öffentliche Projekte.,Dier Steuerzahler*in finanziert öffentliche Projekte.,Dier Steuerzahler/in finanziert öffentliche Projekte.,Dier SteuerzahlerIn finanziert öffentliche Projekte.
Die geförderte Person erhielt finanzielle Unterstützung für deren Studium.,Der Stipendiat erhielt finanzielle Unterstützung für sein Studium.,Die Stipendiatin erhielt finanzielle Unterstützung für ihr Studium.,Dier Stipendiat:in erhielt finanzielle Unterstützung für deren Studium.,Dier Stipendiat_in erhielt finanzielle Unterstützung für deren Studium.,Dier Stipendiat*in erhielt finanzielle Unterstützung für deren Studium.,Dier Stipendiat/in erhielt finanzielle Unterstützung für deren Studium.,Dier StipendiatIn erhielt finanzielle Unterstützung für deren Studium.
Die Studierenden mit Stipendium wurden für ihre herausragenden Leistungen ausgezeichnet.,Die Stipendiaten wurden für ihre herausragenden Leistungen ausgezeichnet.,Die Stipendiatinnen wurden für ihre herausragenden Leistungen ausgezeichnet.,Die Stipendiat:innen wurden für ihre herausragenden Leistungen ausgezeichnet.,Die Stipendiat_innen wurden für ihre herausragenden Leistungen ausgezeichnet.,Die Stipendiat*innen wurden für ihre herausragenden Leistungen ausgezeichnet.,Die Stipendiat/innen wurden für ihre herausragenden Leistungen ausgezeichnet.,Die StipendiatInnen wurden für ihre herausragenden Leistungen ausgezeichnet.
Die Person in Haft verbüßte die Strafe im Gefängnis.,Der Sträfling verbüßte die Strafe im Gefängnis.,Der Sträfling verbüßte die Strafe im Gefängnis.,Der Sträfling verbüßte die Strafe im Gefängnis.,Der Sträfling verbüßte die Strafe im Gefängnis.,Der Sträfling verbüßte die Strafe im Gefängnis.,Der Sträfling verbüßte die Strafe im Gefängnis.,Der Sträfling verbüßte die Strafe im Gefängnis.
Die straffällige Person wurde vor Gericht verurteilt.,Der Straftäter wurde vor Gericht verurteilt.,Die Straftäterin wurde vor Gericht verurteilt.,Dier Straftäter:in wurde vor Gericht verurteilt.,Dier Straftäter_in wurde vor Gericht verurteilt.,Dier Straftäter*in wurde vor Gericht verurteilt.,Dier Straftäter/in wurde vor Gericht verurteilt.,Dier StraftäterIn wurde vor Gericht verurteilt.
Die streamende Person übertrug das Spiel live im Internet.,Der Streamer übertrug das Spiel live im Internet.,Die Streamerin übertrug das Spiel live im Internet.,Dier Streamer:in übertrug das Spiel live im Internet.,Dier Streamer_in übertrug das Spiel live im Internet.,Dier Streamer*in übertrug das Spiel live im Internet.,Dier Streamer/in übertrug das Spiel live im Internet.,Dier StreamerIn übertrug das Spiel live im Internet.
Der Stromversorgungsbetrieb sorgt für eine zuverlässige Energieversorgung.,Der Stromversorger sorgt für eine zuverlässige Energieversorgung.,Die Stromversorgerin sorgt für eine zuverlässige Energieversorgung.,Dier Stromversorger:in sorgt für eine zuverlässige Energieversorgung.,Dier Stromversorger_in sorgt für eine zuverlässige Energieversorgung.,Dier Stromversorger*in sorgt für eine zuverlässige Energieversorgung.,Dier Stromversorger/in sorgt für eine zuverlässige Energieversorgung.,Dier StromversorgerIn sorgt für eine zuverlässige Energieversorgung.
Die studierende Person lernte fleißig für ihre Prüfungen.,Der Student lernte fleißig für seine Prüfungen.,Die Studentin lernte fleißig für ihre Prüfungen.,Dier Student:in lernte fleißig für deren Prüfungen.,Dier Student_in lernte fleißig für deren Prüfungen.,Dier Student*in lernte fleißig für deren Prüfungen.,Dier Student/in lernte fleißig für deren Prüfungen.,Dier StudentIn lernte fleißig für deren Prüfungen.
Die Studierenden diskutierten über das neue Forschungsprojekt.,Die Studenten diskutierten über das neue Forschungsprojekt.,Die Studentinnen diskutierten über das neue Forschungsprojekt.,Die Student:innen diskutierten über das neue Forschungsprojekt.,Die Student_innen diskutierten über das neue Forschungsprojekt.,Die Student*innen diskutierten über das neue Forschungsprojekt.,Die Student/innen diskutierten über das neue Forschungsprojekt.,Die StudentInnen diskutierten über das neue Forschungsprojekt.
Das Studierendenwohnheim bietet günstige Unterkünfte.,Das Studentenwohnheim bietet günstige Unterkünfte.,Das Studentinwohnheim bietet günstige Unterkünfte.,Das Student:inwohnheim bietet günstige Unterkünfte.,Das Student_inwohnheim bietet günstige Unterkünfte.,Das Student*inwohnheim bietet günstige Unterkünfte.,Das Student/inwohnheim bietet günstige Unterkünfte.,Das StudentInwohnheim bietet günstige Unterkünfte.
Die Supervisionspersonen trafen sich zu einer Besprechung.,Die Supervisoren trafen sich zu einer Besprechung.,Die Supervisorinnen trafen sich zu einer Besprechung.,Die Supervisor:innen trafen sich zu einer Besprechung.,Die Supervisor_innen trafen sich zu einer Besprechung.,Die Supervisor*innen trafen sich zu einer Besprechung.,Die Supervisor/innen trafen sich zu einer Besprechung.,Die SupervisorInnen trafen sich zu einer Besprechung.
Die Befürwortenden feuerten das Team lautstark an.,Die Supporter feuerten das Team lautstark an.,Die Supporterinnen feuerten das Team lautstark an.,Die Supporter:innen feuerten das Team lautstark an.,Die Supporter_innen feuerten das Team lautstark an.,Die Supporter*innen feuerten das Team lautstark an.,Die Supporter/innen feuerten das Team lautstark an.,Die SupporterInnen feuerten das Team lautstark an.
